xmin,xmax,ymin,ymax,zmin,zmax
56,123,22,96,56,123
56,141,22,119,27,141
57,117,28,90,65,117
62,124,47,111,31,124
55,150,26,130,28,150
54,152,25,134,38,152
55,149,23,137,43,149
56,134,29,118,59,134
55,131,29,108,62,131
55,137,23,132,56,137
57,130,27,117,65,130
56,125,21,100,54,125
50,89,27,110,58,89
35,122,19,125,44,122
30,119,23,124,44,119
37,87,24,132,21,87
41,87,25,116,35,87
40,85,25,127,29,85
41,86,26,145,27,86
28,87,22,134,21,87
24,86,22,141,26,86
29,81,26,102,58,81
26,83,22,145,38,83
37,83,30,112,74,83
37,83,22,145,49,83
49,123,23,108,62,123
47,83,27,137,49,83
40,121,22,174,33,121
44,86,26,136,52,86
41,83,30,136,50,83
41,123,23,121,35,123
41,87,29,127,37,87
58,135,30,174,51,135
62,133,35,159,58,133
55,124,32,110,69,124
55,119,34,93,68,119
55,142,23,97,54,142
55,137,26,91,64,137
54,124,23,96,65,124
54,142,23,120,57,142
55,147,23,123,62,147
54,145,23,125,60,145
55,123,23,96,56,123
56,140,24,123,27,140
55,127,27,99,49,127
56,148,26,130,29,148
55,152,23,130,39,152
55,150,25,135,45,150
55,137,26,139,55,137
51,132,24,109,61,132
56,120,28,152,68,120
54,135,26,131,53,135
56,130,34,117,66,130
56,127,23,116,43,127
47,82,28,110,58,82
36,123,22,124,38,123
35,82,21,134,21,82
37,82,22,120,30,82
37,81,23,133,26,81
37,76,24,146,24,76
28,81,21,136,22,81
23,80,22,142,26,80
29,72,29,121,45,72
26,82,22,149,34,82
35,62,48,115,63,62
38,83,21,174,46,83
37,123,22,117,50,123
43,83,29,137,49,83
35,82,20,160,31,82
31,81,23,134,45,81
40,86,22,136,49,86
37,129,22,124,33,129
38,78,25,128,33,78
44,130,31,175,48,130
44,107,51,184,50,107
60,132,24,161,60,132
57,135,22,188,57,135
58,113,28,187,74,113
55,119,33,92,73,119
45,116,65,105,71,116
38,125,20,107,56,125
39,128,24,105,59,128
38,128,20,103,58,128
39,124,19,96,58,124
39,147,20,125,57,147
45,145,19,126,55,145
45,145,22,126,55,145
50,140,24,122,24,140
38,126,22,108,38,126
57,126,24,115,30,126
39,150,23,121,28,150
39,152,20,129,38,152
39,148,23,139,42,148
44,139,23,144,54,139
38,131,20,160,59,131
53,121,28,160,62,121
41,134,22,135,56,134
54,130,25,117,63,130
45,138,21,137,39,138
39,80,18,114,52,80
35,91,23,160,21,91
39,93,25,119,34,93
38,93,24,133,26,93
40,93,24,146,24,93
27,92,22,137,21,92
25,93,25,138,25,93
29,83,27,129,42,83
26,94,24,146,34,94
41,89,24,162,49,89
41,90,24,125,30,90
44,84,33,183,46,84
35,122,23,178,33,122
40,90,26,136,49,90
40,88,28,136,50,88
38,124,25,124,34,124
40,90,28,128,34,90
59,130,52,140,55,130
64,114,63,94,65,114
41,123,24,118,43,123
